    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    187 root      20   0       0      0      0 I   0.0   0.0   0:04.69 kworker+
    227 root      20   0       0      0      0 S   0.0   0.0   0:01.51 jbd2/sd+
    228 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    277 root      19  -1   67284  18200  16644 S   0.0   0.5   0:01.12 systemd+
    300 root      20   0       0      0      0 I   0.0   0.0   0:12.38 kworker+
    335 root      20   0   30580   7652   3940 S   0.0   0.2   0:00.47 systemd+
    397 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
    444 systemd+  20   0   17560   7640   6724 S   0.0   0.2   0:04.26 systemd+
    455 systemd+  20   0   21844  12384   9848 S   0.0   0.3   0:00.89 systemd+
    463 systemd+  20   0   91048   7860   6876 S   0.0   0.2   0:00.14 systemd+
    570 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/18-+
    571 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    574 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    876 avahi     20   0    8668   4472   4012 S   0.0   0.1   0:00.13 avahi-d+
    877 message+  20   0   12068   7176   4636 S   0.0   0.2   0:02.86 dbus-da+
    880 gnome-r+  20   0  439076  14900  12412 S   0.0   0.4   0:00.06 gnome-r+
    883 polkitd   20   0  384784  11208   7748 S   0.0   0.3   0:01.88 polkitd
    887 root      20   0  313376   7364   6616 S   0.0   0.2   0:00.08 power-p+
    896 root      20   0 2070144  34780  19340 S   0.0   0.9   0:17.59 snapd
    899 root      20   0  313292   7764   6876 S   0.0   0.2   0:00.49 account+
    902 root      20   0    9424   2832   2584 S   0.0   0.1   0:00.04 cron
    903 root      20   0  309720   6772   6196 S   0.0   0.2   0:00.06 switche+
    905 root      20   0   18148   8856   7716 S   0.0   0.2   0:00.50 systemd+
    911 root      20   0  469460  12204   9516 S   0.0   0.3   0:00.36 udisksd
    929 avahi     20   0    8480   1500   1132 S   0.0   0.0   0:00.00 avahi-d+
    931 root      20   0  336388  17180  14224 S   0.0   0.4   0:00.59 Network+
    932 root      20   0   17380   4928   4052 S   0.0   0.1   0:00.09 wpa_sup+
    981 syslog    20   0  222588   5532   3952 S   0.0   0.1   0:00.29 rsyslogd
   1005 root      20   0  318296   9272   7208 S   0.0   0.2   0:00.14 ModemMa+
   1092 root      20   0   38392  11980   9656 S   0.0   0.3   0:00.05 cupsd
   1099 root      20   0  112240  21028  11600 S   0.0   0.5   0:00.15 unatten+
   1107 lp        20   0   16832   6784   5868 S   0.0   0.2   0:00.00 dbus
   1110 root      20   0  314824   9096   7984 S   0.0   0.2   0:00.06 gdm3
   1117 cups-br+  20   0  268476  18404  15336 S   0.0   0.5   0:00.07 cups-br+
   1125 kernoops  20   0   12744   2436   1956 S   0.0   0.1   0:00.00 kernelo+
   1128 kernoops  20   0   12744   2440   1956 S   0.0   0.1   0:00.00 kernelo+
   1246 rtkit     21   1   22940   3476   3176 S   0.0   0.1   0:00.24 rtkit-d+
   1353 colord    20   0  320068  14180   9508 S   0.0   0.4   0:00.44 colord
   1417 root      20   0  317084   9432   7352 S   0.0   0.2   0:03.30 upowerd
   1684 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1748 root      20   0  242580  10176   8676 S   0.0   0.3   0:00.03 gdm-ses+
   1759 andrei    20   0   21128  12608   9644 S   0.0   0.3   0:01.24 systemd
   1764 andrei    20   0   21460   3656   1852 S   0.0   0.1   0:00.00 (sd-pam)
   1773 andrei     9 -11  117040  14976   8556 S   0.0   0.4   0:00.30 pipewire
   1774 andrei    20   0   97736   5344   4460 S   0.0   0.1   0:00.03 pipewire
   1777 andrei     9 -11  406852  16044  10984 S   0.0   0.4   0:00.34 wireplu+
   1778 andrei     9 -11  121732  18420   9684 S   0.0   0.5   0:00.59 pipewir+
   1780 andrei    20   0  316508   9872   8732 S   0.0   0.2   0:00.14 gnome-k+
   1797 andrei    20   0   10876   6700   4728 S   0.0   0.2   0:02.69 dbus-da+
   1830 andrei    20   0  610292   7796   7000 S   0.0   0.2   0:00.11 xdg-doc+
